Product,Consumer complaint narrative,clean_category
Checking or savings account,SunTrust Bank has still not sent out 1099 forms. The legal deadline has passed. Same problem as last year : we waited and waited for the very late document before we could file our Federal/state income tax. Our accountant says that other SunTrust customers have had the same problem. When I talked to the bank they offered no reason or excuse.,Bank Account/Service
Checking or savings account,I've called before to see whats going on just the fact they did closed the account before. It makes no sense to send a letter to me. Since they close the account before.on the letter it showed from XX/XX/2019 thru XX/XX/2019. Account been closed where this has this came.,Bank Account/Service
Checking or savings account,"I received a letter dated XX/XX/XXXX, signed by Mr. XXXX XXXX, Wells Fargo Merchant Services, Executive Office, stating that my merchants account ( ending in XXXX ) was cancelled ( see attached ). His response was relating to former CFPB complaint number XXXX filed by me earlier in XX/XX/XXXX. Since then I have received multiple emails suggesting that my merchant account is still open with the latest dated XX/XX/XXXX ( see attached ).",Bank Account/Service
Checking or savings account,"On XX/XX/XXXX I made a {$250.00} Deposit to Cover incoming transactions. The transaction had not cleared my account, despite having the money available in my account TD Bank charged med {$100.00} in Overdraft fees. TD Bank has manipulated there system to increase NSF Fees on their customers.",Bank Account/Service
Credit card or prepaid card,"Fraud charges have been filed, talked to agent, sent out response letter to Citi Bank and neve resolved my dispute and all fraud charges are still on my account. 
No body contacted me ever since I filed the dispute fraud charges.",Credit Card
Credit card or prepaid card,"Company closed my XXXX credit card account without warning, and I lost access to all statements online, which made it very difficult for me to dispute fees that BoFa charged on that credit card.",Credit Card
Credit card or prepaid card,"XXXX for Indiana has no live person to talk to, even after the web site says it has 24/7 service. I have spent over two hours trying to call them, using the number on the card and by using the internet. I have also call my child support division and they tell me they have no way of helping with this issue. I need to report fraud on my XXXX and there is no way to talk to anyone.",Credit Card
Credit card or prepaid card,"Citibank will not print, display on line, or email a statement if there are no charges made on the card for the statement period. This is true even if there are payments made on the account during that statement period. 

This results in the inability to balance the account. The card holder must call the customer service, escalate the call to a manager, and then request a letter regarding the payment. But they will still not send a statement. This must be done every month.",Credit Card
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/XXXX, I filed a dispute with XXXX regarding a trade line reported by Specialized Loan Servicing, due to inaccurate balance and payment history data reported. On XX/XX/XXXX,  the balance of the trade line was updated to the correct amount ( {$0.00} ), yet the paid history continues to show a charge off date of XX/XX/XXXX when the date of first delinquency was XX/XX/XXXX ( in  violation of the FDIC 's Uniform Retail Credit Classification and Account Management Policy ).",Credit Reporting
"Credit reporting, credit repair services, or other personal consumer reports","An account in my credit is showing late, this account has never been late, this inacurate reporting has affected my ability to get funding and has made me pay higher interes. 
Please remove this late in my credit report.",Credit Reporting
"Credit reporting, credit repair services, or other personal consumer reports","Incorrect information reported to Credit companies by my mortgage company. I have never been responsible for a late payment of my mortgage. The new mortgaging company reported me late although my bank sent them two letters saying it had not been my fault. i understand they reported me late for a  XX/XX/2018 payment, when in fact i made it on XX/XX/2018.",Credit Reporting
"Credit reporting, credit repair services, or other personal consumer reports","I requested my free annual credit reports from XXXX, XXXX and TranUnion in XXXX as usual and have not received them",Credit Reporting
Debt collection,"I've tried explaining to this company, the information that is reporting on my credit report isn't mine and I sign my name as XXXX XXXX.",Debt Collection
Debt collection,"They are claiming I owe money for a ticket on a car and license plates I have never owned. They are contacting me by postal mail. I have called them to stop, they are rude, laugh at me, and continue to insist I pay them. 

They are threatening judgment liens against me and to have my driver 's license suspended.",Debt Collection
Debt collection,"I made agree ment with XXXX XXXX in XXXX, nc I bought a house in another state, we agree that I will pay XXXX.rent and they will rent the apartment in XX/XX/XXXX, three months later I get a letter from a collection agency telling me I owe XXXX dollars 3 months of rent, the manager agree to the terms.that I can get out of lease, but I will not get my deposit back",Debt Collection
Debt collection,Ive reached out to the company via the bureaus requesting validation of the accused debt. The company have not responded to my request of validation and is currently reporting inaccurate information and debt amounts on my reports.,Debt Collection
Mortgage,"Hello, I had a fire claim and initially the full proceeds were told to me from Chase Branch to release funds within 5 days on two installments. 

Then that did not happen. Then I was told 70 percent had to be completed.

I had two inspections, one inspection 20 percent was done.

Second inspection 70 percent was done and still no release of funds so I can finish my job.

Still remaining funds have not been released. I am getting the runarounds and can not finish my job since I am the contractor.",Mortgage
Mortgage,My home has passed the 80 % loan to value mark and I want the PMI payments to be removed from my mortgage with Wells Fargo. I called the lender and they gave me the run around. There is no reason for me to pay an additional {$220.00} a month on my mortgage. A full 25 % additional each month. I have 6 years of onetime payments. I want this PMI removed and not by going through a refinance. Please help.,Mortgage
Mortgage,"We had tornado damage to our house, XX/XX/XXXX & we sent our insurance check to Ditech Financial,  mortgage holder. We are asking for the final amount {$1600.00}, to be released. 
I have been in constant contact with Ditech Financial via phone & emails since I mailed our insurance checks.",Mortgage
Mortgage,AFETER HURRICANES IMAR I MISS TREE PAYMENTS,Mortgage
